wavelength(mum) 4_pi_J_wavelength (erg/cm^2/sec)

0.100000 0.	             
0.125893 0.       
0.158489 0.      
0.199526 0.
0.295	1.015e-5
0.314	3.132e-5
0.336	3.815e-5
0.359	5.337e-5
0.379	7.771e-5
0.414	1.136e-4
0.433	1.605e-4
0.481	2.495e-4
0.511	3.626e-4
0.534	4.888e-4
0.572	7.051e-4
0.640	0.001
0.685	0.002
0.734	0.003
0.805	0.003
0.882	0.005
0.973	0.007
1.058	0.009
1.252	0.011
1.329	0.011
1.581	0.012
1.996	0.011
2.214	0.009
2.425	0.009
2.843	0.007
3.158	0.006
3.561	0.005
3.815	0.004
4.217	0.003
4.684	0.002
5.312	0.002
5.642	0.002
6.278	0.001
6.933	9.804e-4
8.016	6.834e-4
8.375	5.524e-4
8.759	4.570e-4
9.373	4.151e-4
9.813	3.691e-4
9.9	3.456e-4
10.662	3.694e-4
11.585	4.240e-4
13.191	3.974e-4
14.224	3.534e-4
15.206	3.145e-4
15.919	2.715e-4
16.811	2.209e-4
18.006	1.865e-4
18.850	1.720e-4
19.695	1.720e-4
20.915	2.034e-4
22.255	2.468e-4
23.815	3.148e-4
25.706	4.041e-4
28.605	5.939e-4
30.610	8.271e-4
32.540	0.001
34.359	0.001
36.560	0.002
37.125	0.002
39.422	0.003
41.865	0.003
43.454	0.004
45.871	0.004
47.705	0.005
48.809	0.006
51.887	0.008
58.296	0.011
63.346	0.015
67.265	0.018
78.369	0.025
85.890	0.031
100.532	0.039
112.516	0.044
122.945	0.047
154.758	0.051
176.561	0.053
226.939	0.045
260.134	0.039
314.850	0.031
358.500	0.026
414.082	0.020
508.877	0.012
623.608	0.008
673.057	0.006
715.497	0.005
820.927	0.004
865.992	0.003
927.643	0.002
