wavelen(micron) a(micron) Qabs Qext Qpol
0.100000 0.001000 0.178308 0.178308 0.000000
0.100000 0.001062 0.189306 0.189307 0.000000
0.100000 0.001127 0.200983 0.200984 0.000000
0.100000 0.001197 0.213381 0.213382 0.000000
0.100000 0.001270 0.226543 0.226544 0.000000
0.100000 0.001349 0.240518 0.240519 0.000000
0.100000 0.001432 0.255355 0.255357 0.000000
0.100000 0.001520 0.271107 0.271110 0.000000
0.100000 0.001614 0.287832 0.287835 0.000000
0.100000 0.001714 0.305589 0.305593 0.000000
0.100000 0.001819 0.324442 0.324447 0.000000
0.100000 0.001932 0.344459 0.344465 0.000000
0.100000 0.002051 0.365711 0.365719 0.000000
0.100000 0.002177 0.388276 0.388286 0.000000
0.100000 0.002311 0.412234 0.412247 0.000000
0.100000 0.002454 0.437671 0.437687 0.000000
0.100000 0.002605 0.464679 0.464700 0.000000
0.100000 0.002766 0.493356 0.493383 0.000000
0.100000 0.002937 0.523804 0.523838 0.000000
0.100000 0.003118 0.556134 0.556177 0.000000
0.100000 0.003310 0.590461 0.590517 0.000000
0.100000 0.003514 0.626911 0.626981 0.000000
0.100000 0.003731 0.665613 0.665703 0.000000
0.100000 0.003961 0.706708 0.706823 0.000000
0.100000 0.004205 0.750345 0.750491 0.000000
0.100000 0.004465 0.796679 0.796865 0.000000
0.100000 0.004740 0.845880 0.846116 0.000000
0.100000 0.005033 0.896939 0.897819 0.346660
0.100000 0.005343 0.943278 0.950543 0.373603
0.100000 0.005673 0.996067 1.011849 0.403032
0.100000 0.006022 1.055276 1.082307 0.435179
0.100000 0.006394 1.120784 1.162508 0.470213
0.100000 0.006788 1.192309 1.253076 0.508273
0.100000 0.007207 1.269360 1.354502 0.549372
0.100000 0.007651 1.351106 1.467244 0.593410
0.100000 0.008123 1.436396 1.591413 0.640044
0.100000 0.008624 1.523468 1.726750 0.688620
0.100000 0.009156 1.610065 1.872163 0.737980
0.100000 0.009721 1.693368 2.026083 0.786613
0.100000 0.010321 1.770186 2.185877 0.832307
0.100000 0.010957 1.836888 2.347571 0.872190
0.100000 0.011633 1.890297 2.506884 0.903037
0.100000 0.012350 1.927462 2.658000 0.921198
0.100000 0.013112 1.946726 2.795361 0.923584
0.100000 0.013921 1.947907 2.914217 0.907995
0.100000 0.014779 1.932575 3.010527 0.874220
0.100000 0.015691 1.904124 3.083123 0.824858
0.100000 0.016659 1.866844 3.133153 0.764679
0.100000 0.017686 1.825713 3.163896 0.700477
0.100000 0.018777 1.785647 3.180763 0.639382
0.100000 0.019935 1.750708 3.190578 0.586562
0.100000 0.021165 1.723352 3.199120 0.542602
0.100000 0.022470 1.703833 3.210480 0.503860
0.100000 0.023856 1.690531 3.225651 0.463627
0.100000 0.025327 1.680453 3.242641 0.416371
0.100000 0.026889 1.670756 3.257978 0.362821
0.100000 0.028548 1.659720 3.268538 0.309968
0.100000 0.030309 1.646506 3.272455 0.266000
0.100000 0.032178 1.631137 3.269472 0.234001
0.100000 0.034162 1.614010 3.261391 0.208618
0.100000 0.036270 1.596140 3.251411 0.182111
0.100000 0.038507 1.579024 3.243429 0.152338
0.100000 0.040881 1.562876 3.238977 0.123432
0.100000 0.043403 1.545333 3.234925 0.099767
0.100000 0.046080 1.524191 3.225625 0.079917
0.100000 0.048922 1.501120 3.210786 0.060685
0.100000 0.051939 1.480222 3.194984 0.041981
0.100000 0.055143 1.462665 3.181776 0.025088
0.100000 0.058544 1.444827 3.168290 0.009697
0.100000 0.062155 1.425354 3.151990 0.001217
0.100000 0.065988 1.406824 3.135163 0.015870
0.100000 0.070058 1.389714 3.119704 0.026314
0.100000 0.074379 1.371781 3.103657 0.035459
0.100000 0.078966 1.353594 3.086660 0.042541
0.100000 0.083837 1.336867 3.070567 0.048629
0.100000 0.089008 1.320689 3.055023 0.053584
0.100000 0.094497 1.302211 3.036831 0.057206
0.100000 0.100326 1.287238 3.021942 0.060014
0.100000 0.106513 1.272369 3.007083 0.061919
0.100000 0.113083 1.257759 2.992157 0.063119
0.100000 0.120057 1.243171 2.977082 0.063599
0.100000 0.127462 1.228767 2.961778 0.063364
0.100000 0.135324 1.214852 2.946588 0.062786
0.100000 0.143670 1.201047 2.931227 0.061942
0.100000 0.152531 1.187399 2.915898 0.060915
0.100000 0.161939 1.174261 2.901171 0.059790
0.100000 0.171927 1.161747 2.887509 0.058448
0.100000 0.182531 1.149633 2.874614 0.056948
0.100000 0.193788 1.137413 2.861796 0.055339
0.100000 0.205741 1.125095 2.848983 0.053587
0.100000 0.218430 1.112792 2.836345 0.051774
0.100000 0.231902 0.918876 2.376670 0.000000
0.100000 0.246205 0.908939 2.363293 0.000000
0.100000 0.261390 0.899116 2.350023 0.000000
0.100000 0.277512 0.889841 2.337370 0.000000
0.100000 0.294628 0.880857 2.325037 0.000000
0.100000 0.312800 0.872176 2.313042 0.000000
0.100000 0.332093 0.863985 2.301619 0.000000
0.100000 0.352575 0.855904 2.290308 0.000000
0.100000 0.374321 0.848292 2.279554 0.000000
0.100000 0.397408 0.840909 2.269064 0.000000
0.100000 0.421919 0.833797 2.258896 0.000000
0.100000 0.447941 0.827089 2.249220 0.000000
0.100000 0.475569 0.820483 2.239657 0.000000
0.100000 0.504900 0.814278 2.230591 0.000000
0.100000 0.536041 0.808251 2.221739 0.000000
0.100000 0.569102 0.802466 2.213187 0.000000
0.100000 0.604203 0.797011 2.205054 0.000000
0.100000 0.641468 0.791652 2.197031 0.000000
0.100000 0.681032 0.786631 2.189446 0.000000
0.100000 0.723036 0.781748 2.182031 0.000000
0.100000 0.767630 0.777079 2.174892 0.000000
0.100000 0.814976 0.772678 2.168104 0.000000
0.100000 0.865241 0.768363 2.161422 0.000000
0.100000 0.918606 0.764334 2.155122 0.000000
0.100000 0.975263 0.760409 2.148952 0.000000
0.100000 1.035414 0.756671 2.143033 0.000000
0.100000 1.099275 0.753148 2.137405 0.000000
0.100000 1.167075 0.749703 2.131876 0.000000
0.100000 1.239056 0.746495 2.126675 0.000000
0.100000 1.315478 0.743364 2.121572 0.000000
0.100000 1.396612 0.740396 2.116694 0.000000
0.100000 1.482751 0.737598 2.112054 0.000000
0.100000 1.574202 0.734869 2.107504 0.000000
0.100000 1.671294 0.732335 2.103234 0.000000
0.100000 1.774374 0.729857 2.099036 0.000000
0.100000 1.883812 0.727517 2.095035 0.000000
0.100000 2.000000 0.725311 2.091227 0.000000
0.107866 0.001000 0.144929 0.144929 0.000000
0.107866 0.001062 0.153868 0.153869 0.000000
0.107866 0.001127 0.163359 0.163360 0.000000
0.107866 0.001197 0.173436 0.173436 0.000000
0.107866 0.001270 0.184134 0.184134 0.000000
0.107866 0.001349 0.195492 0.195493 0.000000
0.107866 0.001432 0.207551 0.207552 0.000000
0.107866 0.001520 0.220353 0.220355 0.000000
0.107866 0.001614 0.233946 0.233948 0.000000
0.107866 0.001714 0.248378 0.248380 0.000000
0.107866 0.001819 0.263700 0.263703 0.000000
0.107866 0.001932 0.279967 0.279971 0.000000
0.107866 0.002051 0.297239 0.297244 0.000000
0.107866 0.002177 0.315577 0.315583 0.000000
0.107866 0.002311 0.335047 0.335054 0.000000
0.107866 0.002454 0.355718 0.355728 0.000000
0.107866 0.002605 0.377666 0.377679 0.000000
0.107866 0.002766 0.400969 0.400985 0.000000
0.107866 0.002937 0.425711 0.425732 0.000000
0.107866 0.003118 0.451982 0.452008 0.000000
0.107866 0.003310 0.479875 0.479908 0.000000
0.107866 0.003514 0.509491 0.509534 0.000000
0.107866 0.003731 0.540938 0.540992 0.000000
0.107866 0.003961 0.574328 0.574397 0.000000
0.107866 0.004205 0.609782 0.609870 0.000000
0.107866 0.004465 0.647428 0.647540 0.000000
0.107866 0.004740 0.687402 0.687545 0.000000
0.107866 0.005033 0.724909 0.725441 0.192875
0.107866 0.005343 0.726947 0.731347 0.208824
0.107866 0.005673 0.735905 0.745498 0.226532
0.107866 0.006022 0.751624 0.768126 0.246250
0.107866 0.006394 0.773992 0.799604 0.268250
0.107866 0.006788 0.802923 0.840470 0.292844
0.107866 0.007207 0.838316 0.891378 0.320344
0.107866 0.007651 0.880049 0.953175 0.351101
0.107866 0.008123 0.927936 1.026789 0.385431
0.107866 0.008624 0.981620 1.113279 0.423616
0.107866 0.009156 1.040588 1.213628 0.465797
0.107866 0.009721 1.104086 1.328810 0.511984
0.107866 0.010321 1.171072 1.459559 0.561838
0.107866 0.010957 1.239986 1.605732 0.614424
0.107866 0.011633 1.309121 1.766792 0.668270
0.107866 0.012350 1.375917 1.939977 0.720706
0.107866 0.013112 1.437820 2.121023 0.768365
0.107866 0.013921 1.492202 2.304020 0.807245
0.107866 0.014779 1.536734 2.480743 0.833385
0.107866 0.015691 1.570563 2.643909 0.844475
0.107866 0.016659 1.594264 2.788455 0.840471
0.107866 0.017686 1.609602 2.912193 0.823508
0.107866 0.018777 1.618907 3.016049 0.796597
0.107866 0.019935 1.624484 3.103293 0.761779
0.107866 0.021165 1.627718 3.176665 0.719141
0.107866 0.022470 1.629860 3.238347 0.669179
0.107866 0.023856 1.632268 3.290389 0.614993
0.107866 0.025327 1.636584 3.334625 0.561963
0.107866 0.026889 1.644430 3.373636 0.514217
0.107866 0.028548 1.656001 3.409459 0.470596
0.107866 0.030309 1.668227 3.441868 0.425731
0.107866 0.032178 1.674844 3.465978 0.375256
0.107866 0.034162 1.670680 3.474808 0.323138
0.107866 0.036270 1.657582 3.466458 0.278968
0.107866 0.038507 1.641350 3.444677 0.248220
0.107866 0.040881 1.624687 3.413274 0.226810
0.107866 0.043403 1.605735 3.374717 0.205197
0.107866 0.046080 1.585396 3.336416 0.181351
0.107866 0.048922 1.566930 3.306261 0.161918
0.107866 0.051939 1.548845 3.281570 0.148922
0.107866 0.055143 1.527734 3.253761 0.135711
0.107866 0.058544 1.506826 3.223858 0.120402
0.107866 0.062155 1.489239 3.198309 0.107895
0.107866 0.065988 1.473282 3.177978 0.101253
0.107866 0.070058 1.456529 3.159445 0.091355
0.107866 0.074379 1.439103 3.139658 0.082031
0.107866 0.078966 1.422307 3.119117 0.072439
0.107866 0.083837 1.405121 3.097682 0.063373
0.107866 0.089008 1.386404 3.075017 0.056610
0.107866 0.094497 1.366080 3.051011 0.051128
0.107866 0.100326 1.349090 3.030703 0.046492
0.107866 0.106513 1.332361 3.011856 0.042562
0.107866 0.113083 1.316405 2.995532 0.038377
0.107866 0.120057 1.300766 2.980425 0.034033
0.107866 0.127462 1.285698 2.965808 0.029650
0.107866 0.135324 1.270936 2.951270 0.025748
0.107866 0.143670 1.256308 2.936054 0.022718
0.107866 0.152531 1.242097 2.920748 0.020424
0.107866 0.161939 1.228132 2.905599 0.019893
0.107866 0.171927 1.214471 2.890748 0.020921
0.107866 0.182531 1.201093 2.876466 0.021919
0.107866 0.193788 1.188032 2.862892 0.022734
0.107866 0.205741 1.175300 2.850155 0.023148
0.107866 0.218430 1.162580 2.837898 0.023320
0.107866 0.231902 0.962065 2.364681 0.000000
0.107866 0.246205 0.952145 2.352034 0.000000
0.107866 0.261390 0.942340 2.339490 0.000000
0.107866 0.277512 0.933094 2.327550 0.000000
0.107866 0.294628 0.924141 2.315918 0.000000
0.107866 0.312800 0.915488 2.304606 0.000000
0.107866 0.332093 0.907329 2.293841 0.000000
0.107866 0.352575 0.899277 2.283177 0.000000
0.107866 0.374321 0.891693 2.273042 0.000000
0.107866 0.397408 0.884336 2.263153 0.000000
0.107866 0.421919 0.877244 2.253561 0.000000
0.107866 0.447941 0.870552 2.244428 0.000000
0.107866 0.475569 0.863956 2.235394 0.000000
0.107866 0.504900 0.857754 2.226821 0.000000
0.107866 0.536041 0.851724 2.218442 0.000000
0.107866 0.569102 0.845928 2.210337 0.000000
0.107866 0.604203 0.840454 2.202616 0.000000
0.107866 0.641468 0.835069 2.194992 0.000000
0.107866 0.681032 0.830014 2.187770 0.000000
0.107866 0.723036 0.825090 2.180700 0.000000
0.107866 0.767630 0.820373 2.173881 0.000000
0.107866 0.814976 0.815915 2.167383 0.000000
0.107866 0.865241 0.811539 2.160977 0.000000
0.107866 0.918606 0.807439 2.154921 0.000000
0.107866 0.975263 0.803438 2.148983 0.000000
0.107866 1.035414 0.799618 2.143272 0.000000
0.107866 1.099275 0.796008 2.137829 0.000000
0.107866 1.167075 0.792470 2.132474 0.000000
0.107866 1.239056 0.789165 2.127422 0.000000
0.107866 1.315478 0.785933 2.122459 0.000000
0.107866 1.396612 0.782860 2.117702 0.000000
0.107866 1.482751 0.779953 2.113166 0.000000
0.107866 1.574202 0.777112 2.108712 0.000000
0.107866 1.671294 0.774465 2.104519 0.000000
0.107866 1.774374 0.771871 2.100391 0.000000
0.107866 1.883812 0.769414 2.096448 0.000000
0.107866 2.000000 0.767090 2.092686 0.000000
0.116350 0.001000 0.114153 0.114153 0.000000
0.116350 0.001062 0.121194 0.121194 0.000000
0.116350 0.001127 0.128669 0.128669 0.000000
0.116350 0.001197 0.136605 0.136605 0.000000
0.116350 0.001270 0.145031 0.145031 0.000000
0.116350 0.001349 0.153976 0.153977 0.000000
0.116350 0.001432 0.163474 0.163474 0.000000
0.116350 0.001520 0.173557 0.173558 0.000000
0.116350 0.001614 0.184262 0.184263 0.000000
0.116350 0.001714 0.195628 0.195629 0.000000
0.116350 0.001819 0.207695 0.207696 0.000000
0.116350 0.001932 0.220506 0.220508 0.000000
0.116350 0.002051 0.234108 0.234110 0.000000
0.116350 0.002177 0.248549 0.248551 0.000000
0.116350 0.002311 0.263881 0.263884 0.000000
0.116350 0.002454 0.280159 0.280163 0.000000
0.116350 0.002605 0.297441 0.297447 0.000000
0.116350 0.002766 0.315791 0.315798 0.000000
0.116350 0.002937 0.335273 0.335281 0.000000
0.116350 0.003118 0.355957 0.355968 0.000000
0.116350 0.003310 0.377918 0.377933 0.000000
0.116350 0.003514 0.401236 0.401254 0.000000
0.116350 0.003731 0.425993 0.426017 0.000000
