wavelen(micron) a(micron) Qabs Qext Qpol
0.100000 0.001000 0.096710 0.104780 0.024200
0.100000 0.001062 0.102731 0.111301 0.025709
0.100000 0.001127 0.109058 0.118237 0.027301
0.100000 0.001197 0.115900 0.125611 0.029010
0.100000 0.001270 0.123159 0.133435 0.030821
0.100000 0.001349 0.130866 0.141763 0.032747
0.100000 0.001432 0.138959 0.150569 0.034784
0.100000 0.001520 0.147679 0.160095 0.036983
0.100000 0.001614 0.156934 0.170120 0.039308
0.100000 0.001714 0.166768 0.180840 0.041782
0.100000 0.001819 0.177324 0.192212 0.044416
0.100000 0.001932 0.188446 0.204462 0.047238
0.100000 0.002051 0.200429 0.217424 0.050233
0.100000 0.002177 0.213126 0.231256 0.053428
0.100000 0.002311 0.226668 0.245955 0.056845
0.100000 0.002454 0.241175 0.261814 0.060502
0.100000 0.002605 0.256643 0.278782 0.064400
0.100000 0.002766 0.273229 0.296907 0.068612
0.100000 0.002937 0.290779 0.316196 0.073095
0.100000 0.003118 0.309765 0.337081 0.077903
0.100000 0.003310 0.330017 0.359442 0.083044
0.100000 0.003514 0.351715 0.383458 0.088597
0.100000 0.003731 0.374981 0.409390 0.094536
0.100000 0.003961 0.399948 0.437309 0.100957
0.100000 0.004205 0.426770 0.467419 0.107852
0.100000 0.004465 0.455520 0.500031 0.115256
0.100000 0.004740 0.486520 0.535369 0.123274
0.100000 0.005033 0.519845 0.573712 0.131917
0.100000 0.005343 0.555736 0.615386 0.141234
0.100000 0.005673 0.594285 0.660824 0.151290
0.100000 0.006022 0.635735 0.710321 0.162162
0.100000 0.006394 0.680431 0.764487 0.173873
0.100000 0.006788 0.728322 0.823610 0.186422
0.100000 0.007207 0.779444 0.888187 0.199782
0.100000 0.007651 0.834207 0.958900 0.214054
0.100000 0.008123 0.892411 1.035968 0.229078
0.100000 0.008624 0.953930 1.119925 0.244708
0.100000 0.009156 1.018602 1.211254 0.260614
0.100000 0.009721 1.085085 1.309699 0.276485
0.100000 0.010321 1.153904 1.415255 0.291806
