wavelength(mum) 4_pi_J_wavelength (erg/cm^2/sec)

0.100000 0	             
0.125893 0       
0.158489 0   
0.199526 0
0.295	0
0.314	0
0.336	0
0.359	0
0.379	0
0.414	0
0.433	0
0.481	0
0.593	0
0.606	0
0.685	0
0.664	0
0.664	0
0.694	0
0.732	9.967e-6
0.813	1.547e-5
0.871	2.533e-5
0.999	5.241e-5
1.069	7.198e-5
1.093	7.852e-5
1.169	1.014e-4
1.273	1.492e-4
1.322	2.045e-4
1.416	2.722e-4
1.563	4.052e-4
1.747	6.593e-4
1.945	0.001
2.210	0.001
2.533	0.002
2.965	0.002
3.197	0.002
3.447	0.003
3.913	0.002
4.351	0.002
4.727	0.002
5.291	0.001
5.787	0.001
6.240	9.967e-4
6.832	8.177e-4
7.465	6.532e-4
7.944	5.131e-4
8.372	3.967e-4
8.566	3.231e-4
9.045	2.188e-4
9.1	1.752e-4
9.245	1.287e-4
9.245	1.001e-4
9.388	8.715e-5
9.979	7.924e-5
10.357	9.739e-5
11.073	1.435e-4
11.692	1.829e-4
11.692	2.057e-4
12.416	2.241e-4
14.016	1.906e-4
15.449	1.544e-4
16.345	1.194e-4
17.341	9.334e-5
18.136	6.884e-5
18.557	5.239e-5
19.427	4.489e-5
19.876	4.298e-5
21.269	4.902e-5
23.265	6.434e-5
24.357	9.428e-5
26.065	1.384e-4
26.668	1.988e-4
27.892	2.626e-4
29.142	3.657e-4
30.477	5.126e-4
32.120	6.442e-4
34.403	9.796e-4
37.669	0.002
40.041	0.002
43.220	0.003
46.651	0.004
53.119	0.006
57.331	0.008
65.279	0.011
72.023	0.015
84.555	0.020
92.574	0.025
110.246	0.035
123.378	0.041
133.927	0.046
153.359	0.051
170.498	0.052
209.547	0.049
292.644	0.034
376.177	0.023
447.952	0.016
513.958	0.012
661.287	0.006
807.331	0.004
933.380	0.002
